City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talnakh,69.4865,88.3972,-12.31,95,100,3.85,RU,2025-03-06 02:45:36
1,tofol,5.3248,163.0078,28.23,71,100,10.19,FM,2025-03-06 02:45:38
2,albany,42.6001,-73.9662,10.36,93,100,1.79,US,2025-03-06 02:45:39
3,bethel,41.3712,-73.414,10.36,91,100,1.34,US,2025-03-06 02:45:40
4,vorgashor,67.5833,63.95,-20.94,100,93,2.28,RU,2025-03-06 02:45:18
5,port-aux-francais,-49.35,70.2167,6.31,91,99,7.38,TF,2025-03-06 02:44:56
6,yellowknife,62.456,-114.3525,-20.71,84,20,1.03,CA,2025-03-06 02:44:54
7,saint-pierre,-21.3393,55.4781,25.82,57,0,4.12,RE,2025-03-06 02:45:44
8,edinburgh of the seven seas,-37.0676,-12.3116,16.6,65,57,5.36,SH,2025-03-06 02:45:19
9,blackmans bay,-43.0167,147.3167,18.07,60,49,0.45,AU,2025-03-06 02:45:46
10,grytviken,-54.2811,-36.5092,5.34,95,78,5.19,GS,2025-03-06 02:44:55
11,lata,40.1629,-8.3327,10.3,96,100,1.52,PT,2025-03-06 02:45:49
12,hithadhoo,-0.6,73.0833,27.74,76,100,2.93,MV,2025-03-06 02:45:50
13,college,64.8569,-147.8028,3.99,52,75,2.06,US,2025-03-06 02:44:20
14,bilibino,68.0546,166.4372,-24.15,95,93,1.4,RU,2025-03-06 02:45:52
15,ust-nera,64.5667,143.2,-23.27,91,100,1.94,RU,2025-03-06 02:45:53
16,hawaiian paradise park,19.5933,-154.9731,25.96,78,75,3.6,US,2025-03-06 02:45:54
17,dudinka,69.4058,86.1778,-9.42,95,100,4.53,RU,2025-03-06 02:45:55
18,iqaluit,63.7506,-68.5145,-23.15,70,75,2.06,CA,2025-03-06 02:45:06
19,punta arenas,-53.15,-70.9167,7.06,81,0,4.12,CL,2025-03-06 02:45:57
20,keflavik,64.0049,-22.5624,2.24,87,40,4.63,IS,2025-03-06 02:45:58
21,puerto natales,-51.7236,-72.4875,4.6,92,4,1.32,CL,2025-03-06 02:44:52
22,waitangi,-43.9535,-176.5597,13.79,90,100,3.13,NZ,2025-03-06 02:44:54
23,al bayda,32.7627,21.7551,6.65,91,12,4.7,LY,2025-03-06 02:46:02
24,stanley,54.868,-1.6985,4.01,73,2,2.57,GB,2025-03-06 02:46:03
25,monrovia,6.3005,-10.7969,25.07,88,100,1.9,LR,2025-03-06 02:46:04
26,udachny,66.4167,112.4,-21.47,92,98,0.82,RU,2025-03-06 02:46:05
27,prince rupert,54.3161,-130.3201,7.05,87,100,5.14,CA,2025-03-06 02:46:06
28,nova sintra,14.8667,-24.7167,21.11,67,100,10.01,CV,2025-03-06 02:46:07
29,galesong,-5.3166,119.3661,29.22,71,31,1.95,ID,2025-03-06 02:46:08
30,kapit,2.0167,112.9333,23.26,100,100,0.38,MY,2025-03-06 02:46:10
31,lazaro cardenas,17.9583,-102.2,23.53,81,10,1.18,MX,2025-03-06 02:46:11
32,igarka,67.4667,86.5833,-10.03,96,100,3.2,RU,2025-03-06 02:46:12
33,ushuaia,-54.8,-68.3,7.81,71,75,5.14,AR,2025-03-06 02:45:24
34,esqueda,30.7167,-109.5833,15.38,15,83,4.09,MX,2025-03-06 02:46:14
35,tiksi,71.6872,128.8694,-26.0,98,96,2.56,RU,2025-03-06 02:46:16
36,omaruru,-21.4333,15.9333,22.13,72,30,1.78,NA,2025-03-06 02:46:17
37,kangding,30.0513,101.9603,1.37,81,97,2.44,CN,2025-03-06 02:46:19
38,salekhard,66.53,66.6019,-17.63,99,100,1.57,RU,2025-03-06 02:46:20
39,castillos,-34.1667,-53.8333,23.6,81,23,3.46,UY,2025-03-06 02:46:22
40,enewetak,11.3474,162.3373,26.95,80,5,9.92,MH,2025-03-06 02:46:23
41,longyearbyen,78.2186,15.6401,-7.09,73,40,1.54,SJ,2025-03-06 02:46:24
42,zouerate,22.7187,-12.4521,14.21,62,70,4.1,MR,2025-03-06 02:46:25
43,hamilton,39.1834,-84.5333,2.11,83,100,8.75,US,2025-03-06 02:46:26
44,anadyr,64.75,177.4833,-21.72,77,6,5.0,RU,2025-03-06 02:46:28
45,oromocto,45.8351,-66.4792,3.96,100,100,2.57,CA,2025-03-06 02:46:29
46,nyrob,60.733,56.7202,-15.26,97,99,1.61,RU,2025-03-06 02:46:30
47,kikwit,-5.041,18.8162,21.73,93,100,0.56,CD,2025-03-06 02:46:31
48,ilulissat,69.2167,-51.1,-16.99,71,39,3.09,GL,2025-03-06 02:46:32
49,tura,25.5198,90.2201,25.6,19,0,0.84,IN,2025-03-06 02:45:23
50,fort mcmurray,56.7268,-111.381,-3.23,58,100,4.12,CA,2025-03-06 02:46:34
51,qamdo,31.1667,97.2333,-4.18,68,100,0.6,CN,2025-03-06 02:46:35
52,tazovsky,67.4667,78.7,-11.31,95,100,3.15,RU,2025-03-06 02:46:36
53,kovacica,45.1117,20.6214,6.7,61,0,1.85,RS,2025-03-06 02:46:38
54,kailua-kona,19.6406,-155.9956,28.09,70,0,8.23,US,2025-03-06 02:46:39
55,arraial do cabo,-22.9661,-42.0278,25.16,86,0,4.38,BR,2025-03-06 02:46:40
56,aasiaat,68.7098,-52.8699,-22.76,100,74,1.49,GL,2025-03-06 02:46:41
57,viqueque,-8.8673,126.3658,32.46,54,99,3.18,TL,2025-03-06 02:46:42
58,lompoc,34.6391,-120.4579,11.4,94,100,5.66,US,2025-03-06 02:46:43
59,santa cruz,-17.8,-63.1667,23.7,88,20,1.54,BO,2025-03-06 02:46:44
60,fort bragg,35.139,-79.006,15.75,64,20,7.2,US,2025-03-06 02:46:45
61,kupino,54.3663,77.2981,-10.87,88,78,5.19,RU,2025-03-06 02:46:46
62,mount pearl,47.5166,-52.7813,-1.59,88,20,3.6,CA,2025-03-06 02:46:48
63,olonkinbyen,70.9221,-8.7187,-2.99,68,74,8.83,SJ,2025-03-06 02:45:07
64,novyy urgal,51.0736,132.5642,-17.16,79,80,0.85,RU,2025-03-06 02:46:50
65,hermanus,-34.4187,19.2345,20.45,91,0,1.37,ZA,2025-03-06 02:46:51
66,anna regina,7.2644,-58.5077,24.62,81,37,3.76,GY,2025-03-06 02:46:52
67,ascension,30.2169,-90.9001,15.0,33,0,2.57,US,2025-03-06 02:46:53
68,qaqortoq,60.7167,-46.0333,-15.82,80,100,1.85,GL,2025-03-06 02:46:54
69,domna,51.8971,113.1573,-13.91,78,100,1.0,RU,2025-03-06 02:46:55
70,khorixas,-20.3667,14.9667,22.75,74,66,1.31,NA,2025-03-06 02:46:56
71,mugia,43.1041,-9.2179,11.06,92,100,0.47,ES,2025-03-06 02:46:58
72,krasnokamensk,50.0979,118.0369,-8.76,76,11,1.17,RU,2025-03-06 02:46:59
73,alice springs,-23.7,133.8833,36.75,13,0,5.66,AU,2025-03-06 02:47:00
74,uturoa,-16.7333,-151.4333,28.13,74,67,4.93,PF,2025-03-06 02:47:01
75,las lomitas,-24.7096,-60.593,28.85,47,22,3.95,AR,2025-03-06 02:47:02
76,karratha,-20.7377,116.8463,40.7,14,3,9.01,AU,2025-03-06 02:47:03
77,zheleznogorsk-ilimskiy,56.5768,104.1217,-6.6,91,100,1.98,RU,2025-03-06 02:47:04
78,wailua homesteads,22.0669,-159.378,26.44,78,100,7.2,US,2025-03-06 02:47:05
79,bel ombre,-4.6167,55.4167,26.91,83,20,1.03,SC,2025-03-06 02:47:06
80,cabo san lucas,22.8909,-109.9124,20.98,33,63,0.45,MX,2025-03-06 02:47:08
81,adamstown,-25.066,-130.1015,25.99,72,18,3.38,PN,2025-03-06 02:47:09
82,kodiak,57.79,-152.4072,3.73,75,0,3.09,US,2025-03-06 02:45:12
83,puerto ayora,-0.7393,-90.3518,24.75,100,62,1.73,EC,2025-03-06 02:45:22
84,kuta,-8.7233,115.1723,29.97,84,20,6.69,ID,2025-03-06 02:47:12
85,klaksvik,62.2266,-6.589,6.12,73,100,10.85,FO,2025-03-06 02:47:13
86,porto murtinho,-21.6989,-57.8825,25.62,62,0,2.46,BR,2025-03-06 02:47:14
87,mugumu,-1.85,34.7,14.88,66,24,2.61,TZ,2025-03-06 02:47:15
88,redencao,-4.2258,-38.7306,23.08,92,83,0.67,BR,2025-03-06 02:47:16
89,margaret river,-33.95,115.0667,29.09,40,80,3.23,AU,2025-03-06 02:45:13
90,alamogordo,32.8995,-105.9603,14.45,12,0,2.57,US,2025-03-06 02:47:19
91,saipan,15.1355,145.701,30.39,78,20,5.66,MP,2025-03-06 02:47:20
92,port lincoln,-34.7333,135.8667,20.48,59,27,8.81,AU,2025-03-06 02:47:21
93,razole,16.4833,81.8333,28.38,45,94,1.39,IN,2025-03-06 02:47:22
94,nijlen,51.1627,4.6709,5.59,81,0,2.68,BE,2025-03-06 02:47:23
95,thompson,55.7435,-97.8558,-12.91,72,75,6.17,CA,2025-03-06 02:47:24
96,trairi,-3.2778,-39.2689,23.77,93,100,2.55,BR,2025-03-06 02:47:25
97,ribeira grande,38.5167,-28.7,13.21,77,96,3.13,PT,2025-03-06 02:47:26
98,nova xavantina,-14.6667,-52.35,21.31,91,100,1.06,BR,2025-03-06 02:47:27
99,polyarnyy,69.1989,33.4478,-5.69,95,99,2.9,RU,2025-03-06 02:47:29
100,sola,-13.8833,167.55,28.16,69,100,3.13,VU,2025-03-06 02:47:30
101,holmsund,63.706,20.3641,0.97,93,100,1.54,SE,2025-03-06 02:47:31
102,avarua,-21.2078,-159.775,27.03,89,75,1.03,CK,2025-03-06 02:47:32
103,praia da vitoria,38.7333,-27.0667,13.14,76,40,6.8,PT,2025-03-06 02:47:33
104,kroya,-7.6331,109.2461,31.91,70,56,1.79,ID,2025-03-06 02:47:34
105,rong kwang,18.339,100.3174,23.71,21,3,1.35,TH,2025-03-06 02:47:35
106,lehrte,52.3833,9.9667,6.62,82,0,2.78,DE,2025-03-06 02:47:36
107,mwinilunga,-11.7358,24.4293,16.84,97,88,1.62,ZM,2025-03-06 02:47:37
108,shitanjing,39.2342,106.3439,-0.47,47,100,4.62,CN,2025-03-06 02:47:39
109,east london,-33.0153,27.9116,23.87,87,4,3.32,ZA,2025-03-06 02:46:00
110,huarmey,-10.0681,-78.1522,23.1,81,92,2.88,PE,2025-03-06 02:47:41
111,georgetown,5.4112,100.3354,31.96,66,20,3.09,MY,2025-03-06 02:47:42
112,anshun,26.25,105.9333,2.75,78,100,4.45,CN,2025-03-06 02:47:43
113,belmonte,-15.8631,-38.8828,24.37,87,32,2.75,BR,2025-03-06 02:47:46
114,sao joao do piaui,-8.3581,-42.2467,27.31,52,100,4.04,BR,2025-03-06 02:47:47
115,iranshahr,27.2025,60.6848,14.19,17,0,2.06,IR,2025-03-06 02:47:48
116,boende,-0.2167,20.8667,22.7,93,93,0.75,CD,2025-03-06 02:47:49
117,zheleznodorozhnyy,55.7503,38.0042,4.75,95,100,5.66,RU,2025-03-06 02:47:50
118,nago,26.5881,127.9761,15.77,88,100,7.21,JP,2025-03-06 02:47:51
119,puerto lempira,15.2667,-83.7667,24.12,81,5,4.3,HN,2025-03-06 02:47:52
120,namtsy,62.7161,129.6658,-27.95,90,99,1.56,RU,2025-03-06 02:47:53
121,crane,31.3974,-102.3501,14.65,25,100,6.34,US,2025-03-06 02:47:54
122,cannonvale,-20.2833,148.7,29.66,64,0,6.01,AU,2025-03-06 02:47:56
123,prado,-17.3411,-39.2208,23.81,89,14,2.67,BR,2025-03-06 02:47:57
124,howrah,22.5892,88.3103,23.0,38,7,4.63,IN,2025-03-06 02:47:58
125,port mathurin,-19.6833,63.4167,27.64,80,13,11.14,MU,2025-03-06 02:47:59
126,ponta delgada,37.7333,-25.6667,13.89,90,100,5.62,PT,2025-03-06 02:48:00
127,sao joao da barra,-21.6403,-41.0511,24.56,84,4,0.76,BR,2025-03-06 02:48:01
128,krasnovishersk,60.4078,57.082,-17.25,98,97,1.49,RU,2025-03-06 02:48:02
129,badger,64.8,-147.5333,6.14,55,75,2.06,US,2025-03-06 02:48:03
130,hammerfest,70.6634,23.6821,-4.75,86,20,1.03,NO,2025-03-06 02:48:04
131,lincoln,40.8,-96.667,-0.55,68,0,1.34,US,2025-03-06 02:48:06
132,atafu village,-8.5421,-172.5159,28.21,68,35,2.99,TK,2025-03-06 02:48:08
133,salym,60.0625,71.4789,-14.96,97,98,2.36,RU,2025-03-06 02:48:09
134,port pirie,-33.1833,138.0167,30.75,28,91,4.17,AU,2025-03-06 02:48:10
135,tralee,52.2704,-9.7026,4.83,98,58,2.63,IE,2025-03-06 02:48:11
136,tynda,55.1667,124.7167,-18.71,79,6,1.41,RU,2025-03-06 02:48:12
137,forio,40.7342,13.8646,13.91,58,4,2.64,IT,2025-03-06 02:48:13
138,clarksdale,34.2001,-90.5709,7.99,59,1,3.6,US,2025-03-06 02:48:14
139,lockwood,45.8191,-108.4149,4.94,51,40,3.09,US,2025-03-06 02:48:16
140,whitehorse,60.7161,-135.0538,2.83,60,75,4.12,CA,2025-03-06 02:48:17
141,neiafu,-18.65,-173.9833,25.38,94,100,3.09,TO,2025-03-06 02:48:18
142,cabedelo,-6.9811,-34.8339,25.37,79,100,5.55,BR,2025-03-06 02:48:19
143,san lorenzo,-25.3333,-57.5333,28.86,63,3,1.79,PY,2025-03-06 02:48:20
144,coahuayana de hidalgo,18.7,-103.6583,20.75,92,2,1.21,MX,2025-03-06 02:48:21
145,rio verde de mato grosso,-18.9181,-54.8442,22.29,84,89,0.54,BR,2025-03-06 02:48:24
146,alderetes,-26.8167,-65.1333,27.95,57,0,3.09,AR,2025-03-06 02:48:25
147,sao vicente,-23.9631,-46.3919,24.43,26,2,0.96,BR,2025-03-06 02:48:26
148,yumaguzino,52.9041,56.3933,-13.89,98,93,0.61,RU,2025-03-06 02:48:28
149,leh,34.1667,77.5833,-16.75,65,97,0.9,IN,2025-03-06 02:48:29
150,genhe,50.7833,121.5167,-8.38,82,99,1.38,CN,2025-03-06 02:48:30
151,lewiston orchards,46.3804,-116.9754,7.5,58,100,1.35,US,2025-03-06 02:48:31
152,luderitz,-26.6481,15.1594,18.5,78,94,4.37,NA,2025-03-06 02:48:32
153,emerald,-23.5333,148.1667,36.3,27,1,1.69,AU,2025-03-06 02:48:33
154,torbat-e jam,35.244,60.6225,7.31,32,100,0.52,IR,2025-03-06 02:48:35
155,san antonio oeste,-40.7319,-64.9477,22.35,71,100,3.45,AR,2025-03-06 02:48:36
156,vilyuchinsk,52.9306,158.4028,-2.85,50,1,7.0,RU,2025-03-06 02:48:37
157,katsuura,35.1333,140.3,9.63,86,100,4.59,JP,2025-03-06 02:48:38
158,huapinol,17.9229,-92.9109,25.5,100,75,3.09,MX,2025-03-06 02:48:39
159,pokhvistnevo,53.6524,52.1274,-2.47,97,100,2.47,RU,2025-03-06 02:48:40
160,wamba,8.9333,8.6,23.46,19,88,0.78,NG,2025-03-06 02:48:41
161,chonchi,-42.6128,-73.8092,15.62,98,100,3.28,CL,2025-03-06 02:48:42
162,brisas de zicatela,15.8369,-97.0419,25.58,68,4,1.87,MX,2025-03-06 02:48:43
163,minas de marcona,-15.2119,-75.1103,18.53,80,82,2.86,PE,2025-03-06 02:48:45
164,mount darwin,-16.7725,31.5838,17.68,99,24,1.08,ZW,2025-03-06 02:48:46
165,birao,10.2849,22.7882,23.6,17,6,2.35,CF,2025-03-06 02:48:47
166,narsingi,18.0333,78.4333,23.01,14,48,4.5,IN,2025-03-06 02:48:48
167,kingston,17.997,-76.7936,25.53,83,20,1.03,JM,2025-03-06 02:46:41
168,alotau,-10.3069,150.4462,31.95,57,85,3.53,PG,2025-03-06 02:48:51
169,papatowai,-46.5619,169.4708,17.32,57,81,2.78,NZ,2025-03-06 02:48:52
170,yanchep,-31.55,115.6833,34.86,28,0,4.61,AU,2025-03-06 02:48:54
171,sur,22.5667,59.5289,20.54,54,0,0.43,OM,2025-03-06 02:48:55
172,lahore,31.5497,74.3436,12.99,62,0,0.0,PK,2025-03-06 02:48:56
173,utrik,11.2278,169.8474,27.13,76,4,8.82,MH,2025-03-06 02:48:57
174,east ballina,-28.8667,153.5833,24.13,79,89,13.16,AU,2025-03-06 02:48:58
175,klyuchi,52.2667,79.1667,-9.11,78,89,6.16,RU,2025-03-06 02:48:59
176,barakani,-12.1356,44.4317,27.38,80,100,2.19,KM,2025-03-06 02:49:00
177,invercargill,-46.4,168.35,17.23,68,65,3.58,NZ,2025-03-06 02:49:01
178,fale old settlement,-9.3852,-171.2468,28.25,64,51,1.79,TK,2025-03-06 02:44:53
179,stuttgart,48.7823,9.177,3.42,86,0,1.03,DE,2025-03-06 02:49:04
180,oamaru,-45.0784,170.9801,15.0,56,3,3.56,NZ,2025-03-06 02:49:08
181,arkhangel'sk,64.5401,40.5433,-0.94,100,100,3.0,RU,2025-03-06 02:49:09
182,ndibene dahra,15.3338,-15.4766,17.96,64,88,6.14,SN,2025-03-06 02:49:10
183,westport,41.1415,-73.3579,11.57,95,100,6.69,US,2025-03-06 02:49:11
184,caleta olivia,-46.4393,-67.5281,14.49,65,100,5.57,AR,2025-03-06 02:49:12
185,al farwaniyah,29.2775,47.9586,15.89,91,100,2.26,KW,2025-03-06 02:49:15
186,flin flon,54.7682,-101.865,-11.92,90,80,4.38,CA,2025-03-06 02:49:16
187,alesund,62.4723,6.1549,11.11,70,100,18.52,NO,2025-03-06 02:49:17
188,khandyga,62.6667,135.6,-27.72,89,100,0.59,RU,2025-03-06 02:49:18
189,geraldton,-28.7667,114.6,32.23,55,6,4.63,AU,2025-03-06 02:49:19
190,nar'yan-mar,67.6713,53.087,-10.02,92,73,6.03,RU,2025-03-06 02:49:20
191,bizhbulyak,53.6967,54.2642,-11.11,97,95,0.88,RU,2025-03-06 02:49:21
192,mossendjo,-2.9506,12.7261,21.84,99,100,1.89,CG,2025-03-06 02:49:22
193,susuman,62.7833,148.1667,-25.49,77,100,1.35,RU,2025-03-06 02:49:24
194,el calafate,-50.3408,-72.2768,8.57,62,66,2.67,AR,2025-03-06 02:49:25
195,tokmak,47.2514,35.7058,5.59,59,85,5.79,UA,2025-03-06 02:49:26
196,colonel hill,22.7667,-74.2167,25.01,79,2,4.41,BS,2025-03-06 02:49:27
197,isafjordur,66.0755,-23.124,-3.14,88,100,1.53,IS,2025-03-06 02:49:28
198,port elizabeth,-33.918,25.5701,20.73,94,75,2.57,ZA,2025-03-06 02:49:29
199,cockburn town,21.4612,-71.1419,25.59,75,12,6.62,TC,2025-03-06 02:49:30
200,namibe,-15.1961,12.1522,23.79,79,100,1.83,AO,2025-03-06 02:49:31
201,dwarka,22.2394,68.9678,23.49,44,0,3.36,IN,2025-03-06 02:49:32
202,labytnangi,66.6572,66.4183,-16.99,99,100,0.92,RU,2025-03-06 02:47:29
203,hobbs,32.7026,-103.136,12.89,28,0,3.09,US,2025-03-06 02:47:27
204,ola,59.5833,151.2833,-16.23,69,100,0.61,RU,2025-03-06 02:49:36
205,tejen,37.3834,60.5054,7.57,43,1,1.44,TM,2025-03-06 02:49:37
206,codrington,-38.2667,141.9667,17.46,82,99,7.93,AU,2025-03-06 02:49:38
207,bireun,5.203,96.7009,28.92,71,100,2.0,ID,2025-03-06 02:49:39
208,lebu,-37.6167,-73.65,15.13,92,91,3.66,CL,2025-03-06 02:49:40
209,orkney,-26.9802,26.6727,19.4,72,2,1.09,ZA,2025-03-06 02:49:41
210,ghazni,33.5536,68.4269,-1.13,41,0,3.12,AF,2025-03-06 02:49:42
211,kindia,10.0569,-12.8658,20.3,87,91,0.95,GN,2025-03-06 02:49:43
212,puerto colombia,10.9878,-74.9547,27.05,85,11,10.41,CO,2025-03-06 02:49:45
213,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,20,1,9.0,RU,2025-03-06 02:49:46
214,aykhal,66.0,111.5,-19.4,94,96,1.36,RU,2025-03-06 02:49:47
215,kuala belait,4.5833,114.1833,26.45,78,100,1.62,BN,2025-03-06 02:49:48
216,ubari,26.5921,12.7805,16.14,34,99,5.07,LY,2025-03-06 02:49:49
217,bredy,52.4153,60.3411,-7.82,97,100,2.34,RU,2025-03-06 02:49:50
218,colonia,50.9333,6.95,5.54,69,0,2.41,DE,2025-03-06 02:49:51
219,shwebo,22.5667,95.7,27.84,23,0,3.64,MM,2025-03-06 02:49:52
220,puerto baquerizo moreno,-0.9,-89.6,26.33,81,98,2.73,EC,2025-03-06 02:49:54
221,san patricio,28.017,-97.5169,15.97,46,3,3.45,US,2025-03-06 02:49:55
222,kavieng,-2.5744,150.7967,29.79,61,26,6.33,PG,2025-03-06 02:49:56
223,usinsk,65.9939,57.5281,-18.36,93,100,3.41,RU,2025-03-06 02:49:57
224,chandla,25.0833,80.2,18.91,14,0,3.71,IN,2025-03-06 02:49:58
225,prairie du chien,43.0517,-91.1412,0.01,69,100,6.17,US,2025-03-06 02:49:59
226,al jaradiyah,16.5795,42.9124,24.87,80,7,2.54,SA,2025-03-06 02:50:00
227,rotonda west,26.8837,-82.2901,21.1,88,75,4.12,US,2025-03-06 02:50:03
228,inverness,57.4791,-4.224,11.02,82,100,7.2,GB,2025-03-06 02:50:04
229,fortuna,40.5982,-124.1573,8.53,95,100,3.09,US,2025-03-06 02:50:05
230,pasighat,28.0667,95.3333,23.39,40,13,0.82,IN,2025-03-06 02:50:06
231,gaiman,-43.2897,-65.4929,17.11,61,30,8.55,AR,2025-03-06 02:50:07
232,monghyr,25.3833,86.4667,20.6,21,0,3.71,IN,2025-03-06 02:50:08
233,ta`u,-14.2336,-169.5144,27.69,69,88,1.8,AS,2025-03-06 02:50:09
234,afaahiti,-17.75,-149.2833,26.78,71,78,2.73,PF,2025-03-06 02:50:10
235,galle,6.0367,80.217,26.45,81,96,1.56,LK,2025-03-06 02:50:12
236,lunino,53.5918,45.2271,-2.06,97,100,4.79,RU,2025-03-06 02:50:13
237,vila franca do campo,37.7167,-25.4333,13.93,93,100,4.25,PT,2025-03-06 02:45:10
238,cidreira,-30.1811,-50.2056,24.98,83,0,10.42,BR,2025-03-06 02:50:15
239,kill devil hills,36.0307,-75.676,15.01,77,0,8.23,US,2025-03-06 02:50:16
240,leninskoye,41.7589,69.3864,1.39,68,1,2.14,KZ,2025-03-06 02:50:17
241,daru,-9.0763,143.2092,29.35,70,98,2.92,PG,2025-03-06 02:50:18
242,fada,7.25,4.0667,23.89,96,72,0.85,NG,2025-03-06 02:50:19
243,navoloki,57.4657,41.9634,1.16,87,100,4.92,RU,2025-03-06 02:50:20
244,prince george,53.9166,-122.753,2.69,87,0,2.06,CA,2025-03-06 02:46:40
245,barra do garcas,-15.89,-52.2567,21.38,94,100,0.35,BR,2025-03-06 02:50:23
246,wakkanai,45.4094,141.6739,-0.01,86,75,4.12,JP,2025-03-06 02:48:59
247,jwaneng,-24.6004,24.7303,20.81,70,0,3.64,BW,2025-03-06 02:50:25
248,bamboo flat,11.7,92.7167,29.05,79,66,3.09,IN,2025-03-06 02:50:27
249,kargasok,59.0556,80.8572,-9.16,92,100,4.57,RU,2025-03-06 02:50:28
250,portland,45.5234,-122.6762,11.08,65,98,6.71,US,2025-03-06 02:48:25
251,grass valley,39.2191,-121.0611,6.29,94,100,2.57,US,2025-03-06 02:50:30
252,san antonio de pale,-1.4014,5.6325,27.68,80,98,3.98,GQ,2025-03-06 02:50:32
253,eseka,3.65,10.7667,23.04,98,91,0.62,CM,2025-03-06 02:50:33
254,shantobe,52.4581,68.1839,-3.92,95,100,7.09,KZ,2025-03-06 02:50:34
255,shobara,34.85,133.0167,5.2,77,98,3.9,JP,2025-03-06 02:50:35
256,jamestown,42.097,-79.2353,7.23,98,100,3.13,US,2025-03-06 02:50:36
257,ishigaki,24.3448,124.1572,17.07,94,75,9.26,JP,2025-03-06 02:50:37
258,abu qurqas,27.9312,30.8384,11.07,74,2,3.44,EG,2025-03-06 02:50:38
259,quellon,-43.1167,-73.6167,14.42,99,100,5.37,CL,2025-03-06 02:50:39
260,egilsstadir,65.2653,-14.3948,-3.05,93,100,0.51,IS,2025-03-06 02:50:40
261,metlili chaamba,32.2667,3.6333,11.52,82,40,8.23,DZ,2025-03-06 02:50:42
262,iecava,56.5986,24.2022,6.51,86,100,7.05,LV,2025-03-06 02:50:43
263,veraval,20.9,70.3667,23.9,19,0,3.48,IN,2025-03-06 02:50:44
264,bonthe,7.5264,-12.505,24.09,85,97,2.52,SL,2025-03-06 02:50:45
265,lospalos,-8.5186,127.0025,29.99,60,100,2.91,TL,2025-03-06 02:50:46
266,mana,5.6592,-53.7767,24.77,86,87,3.53,GF,2025-03-06 02:50:47
267,dhuusamarreeb,5.535,46.3861,22.26,80,94,3.19,SO,2025-03-06 02:50:48
268,hilo,19.7297,-155.09,26.08,75,75,3.6,US,2025-03-06 02:50:49
269,buncrana,55.1333,-7.45,6.85,83,100,5.89,IE,2025-03-06 02:50:50
270,san luis de la loma,17.2706,-100.8939,23.09,79,67,1.12,MX,2025-03-06 02:50:51
271,nogliki,51.8333,143.1667,-12.77,68,100,5.19,RU,2025-03-06 02:50:53
